lon_a,lat_a,lon_b,lat_b,usage_count
-3.068028,42.651974,-2.94695,42.6865,116
-7.426508,43.379726,-6.238355,43.57452,115
-6.08845,40.03116,-5.303639,39.895111,115
-3.38483,38.76211,-3.336978,38.973827,115
1.415153,41.177746,2.01427,41.31405,115
-2.03989,39.13535,-1.70096,38.5106,115
-1.964591,41.305973,-1.64318,41.35353,115
1.80476,41.74549,1.854092,41.668594,115
-6.78222,42.544025,-5.713278,42.087806,115
1.842186,41.615833,1.86621,41.446106,114
1.415153,41.177746,2.254843,41.558784,114
-5.61715,42.42043,-5.311668,41.773834,114
-4.84827,38.37906,-4.298971,38.662292,114
-1.900253,37.260567,-1.339611,37.892778,114
-0.804851,38.159927,-0.8,38.162,114
1.82787,41.648155,1.880085,41.96252,114
2.509397,41.648064,2.79281,41.97489,113
1.415153,41.177746,2.01667,41.56667,113
1.415153,41.177746,2.79281,41.97489,113
1.415153,41.177746,1.78519,41.42555,112
1.13957,41.64704,1.176428,41.452232,112
1.163327,41.375767,1.176428,41.452232,112
1.82787,41.648155,1.854092,41.668594,112
-2.63165,42.25568,-2.03226,42.67182,111
-0.754167,38.878611,-0.752036,38.874123,111
1.842186,41.615833,2.25528,42.06174,111
1.415153,41.177746,2.71888,41.69914,111
-1.433511,39.52892,-0.26667,39.68333,111
-0.93025,39.450333,0.47559,40.47033,111
-0.831585,41.76181,0.19406,41.91084,110
1.415153,41.177746,2.2081,41.45152,110
1.415153,41.177746,2.28333,41.68333,110
1.415153,41.177746,1.72511,41.22392,110
-0.184096,39.781944,1.39861,41.14505,110
-1.433389,39.528806,-0.755248,39.44505,110
1.415153,41.177746,2.238149,41.99513,110
1.164609,41.37436,1.166581,41.374886,110
-3.58387,42.380997,-3.54957,42.404915,110
-4.93122,37.67359,-4.282966,37.98478,110
-0.184096,39.781944,1.14764,41.11118,110
1.415153,41.177746,1.641017,41.578785,110
-2.038425,39.134872,-1.360389,37.885556,110
1.19445,41.92241,1.249184,41.446735,109
-3.605657,36.987034,-3.58717,36.74277,109
-5.41681,37.329,-5.252056,37.524694,109
-0.184096,39.781944,1.24993,41.28612,109
-6.53603,39.98406,-5.303639,39.895111,109
-3.8744,36.75278,-3.605287,36.987,109
-0.184096,39.781944,1.274208,41.168575,108
-0.184096,39.781944,0.5216,40.81249,108
-3.67887,40.19081,-3.566889,39.976889,108
-4.93122,37.67359,-3.775363,38.17689,108
-5.38452,36.20983,-3.958857,37.18492,108
-6.99005,42.41642,-6.78222,42.544025,108
-3.58387,42.380997,-3.332083,42.528862,107
-4.703472,39.988556,-3.566889,39.976889,107
-5.38452,36.20983,-4.391351,37.022522,107
-3.74967,37.25109,-3.637788,37.52801,106
-5.575518,39.077377,-5.575436,39.07741,106
-4.958262,37.26286,-4.696101,37.13281,106
0.71,40.81402,2.01427,41.31405,106
