object_id,province_code,road,pk_start_km,pk_end_km,aadt_total,aadt_heavy,aadt_light,aadt_motorcycles,aadt_cars,aadt_cars_caravan,aadt_vans,aadt_tractors,aadt_rigid_trucks,aadt_articulated_trucks,aadt_road_trains,aadt_special_vehicles,aadt_buses,speed_avg_kph,speed_light_kph,speed_heavy_kph,aadt_pct_ascending,aadt_pct_descending,year,shape_length_m
1810,3,N-340,712.5,716.2,26164,828,25336,272,22167,204,2693,0,293,485,24,0,26,73.3,73.6,66.7,49.0979972481272,50.9020027518728,2022,3736.553099859241
1811,23,N-323,21.6,22.3,2413,230,2183,87,1876,45,172,3,161,43,2,0,24,81.3,82.6,69.4,,,2022,0
1812,21,N-433,103.4,103.7,3550,999,2551,67,2238,12,234,0,515,382,16,2,84,,,,,,2022,289.99176780084827
1813,17,AP-7N,20.2,28.5,32225,12411,19814,55,18003,121,1635,0,5407,6420,461,25,98,109.9,122.5,91.2,50.2994569433669,49.7005430566331,2022,8318.024804789778
1814,13,N-502,310.7,311.6,625,40,585,0,516,16,53,0,33,2,2,0,3,,,,,,2022,906.7229265143343
1815,10,A-66,522.5,539,14433,2656,11777,146,10888,92,651,0,634,1829,85,14,94,116,122.4,91.6,52.927319337629,47.072680662371,2022,16391.74621871939
1816,24,N-601,276.1,279.1,2477,435,2042,42,1850,16,134,0,146,240,18,0,31,,,,,,2022,3073.1104235753487
1817,23,A-4,268.6,270.1,30898,8370,22528,383,20610,47,1488,0,1855,5737,350,23,405,95.8,106.8,79,38.9313224156903,61.0686775843097,2022,1321.3017560858898
1818,12,A-7,274.01,276.7,22062,4779,17283,342,15240,103,1598,0,903,3686,140,8,42,103,108.1,84.7,49.3200979059015,50.6799020940985,2022,2616.217696918907
1819,18,N-323A,99.8,100.8,1323,151,1172,98,1021,3,50,0,37,71,3,0,40,,,,,,2022,941.0952152477524
1820,19,N-320A,227.57,236.3,437,32,405,5,367,0,33,0,11,20,0,0,1,,,,,,2022,8670.69059348836
1821,24,AP-66,92.3,112.5,8851,1278,7573,36,6775,32,730,0,526,662,20,4,66,,,,49.9943509207999,50.0056490792001,2022,20255.5146416763
1822,24,N-621,65,65.7,2982,163,2819,141,2102,41,535,0,91,36,0,0,36,,,,,,2022,879.5625127080075
1823,11,A-4R1,1.3,1.5,10327,1293,9034,177,8264,57,536,0,608,625,34,0,26,,,,,,2022,335.2909072381834
1824,21,A-66,741,747,19319,4108,15211,147,14008,134,922,0,547,3266,103,18,174,117.1,123.4,95.2,48.3720689476681,51.6279310523319,2022,5207.93779178684
1825,17,N-2,710.9,714.5,10579,688,9891,278,8353,126,1121,13,515,129,12,5,27,84.2,84.4,80.6,,,2022,3706.4584160882
1826,14,N-432,185.2,189.8,4228,465,3763,30,3571,12,150,0,106,302,17,0,40,,,,,,2022,4706.636366243832
1827,46,N-3,256.2,262.4,2442,229,2213,9,1934,19,241,10,107,88,15,0,19,,,,,,2022,6179.27482367164
1828,13,N-401,156.4,162.8,4126,259,3867,40,3364,14,447,2,137,105,3,0,14,,,,,,2022,6505.733522488816
1829,14,N-432,226.5,231.34,7757,1015,6742,44,6403,31,264,0,233,705,28,7,42,,,,,,2022,4873.633621128475
1830,10,N-630,461.9,468.5,3560,337,3223,27,3053,4,139,0,182,135,0,0,20,,,,,,2022,5882.049896380467
1831,4,N-340A,518.2,519.4,1102,60,1042,51,926,2,63,0,35,17,0,0,8,77.6,78.2,69.7,,,2022,1084.7429375491533
1832,24,N-120,330.5,334,10001,1501,8500,42,7687,60,709,2,471,936,20,5,69,,,,,,2022,3461.271249944683
1833,9,BU-11,3.6,4.08,24458,721,23737,295,21377,41,2024,0,471,147,18,0,85,93.7,94,84.7,52.3959440673808,47.6040559326192,2022,1149.9760983486208
1834,14,N-331,39.5,45.1,6873,438,6435,68,5893,13,449,12,230,170,6,0,32,74.8,75.1,70,,,2022,5864.103050294377
1835,19,N-204,46.7,47.4,2037,191,1846,28,1603,5,208,2,146,33,2,0,10,90.2,91.1,82.6,,,2022,708.056709688835
1836,17,N-156,0.4,1.3,6264,1147,5117,212,4237,42,625,1,417,425,33,2,270,,,,,,2022,900.0041238297109
1837,10,A-5,249.2,252.4,10801,1810,8991,58,8173,9,751,0,392,1238,85,9,86,,,,51.698916766966,48.301083233034,2022,3156.3352392756574
1838,19,A-2,41.6,44,85748,12497,73251,753,69545,8,2945,0,3262,8566,368,13,288,110.3,113.5,91.1,50.7055558147129,49.2944441852871,2022,2380.7400876541947
1839,18,GR-30,12.505,15.455,139721,6850,132871,356,123028,93,9394,0,4711,1863,53,4,219,85.8,86,81.6,49.7913699443892,50.2086300556108,2022,2960.9617618513826
1840,43,AP-7N,318.8,321.6,30749,10351,20398,97,18253,87,1961,0,4273,5367,158,21,532,107.5,116.7,90.5,49.5625874012163,50.4374125987837,2022,2795.2776678201462
