lat,lon,name,is_city,is_feasible_location,is_existing_charger,n_chargers,mean_power_kw,x_built,c_built,p_built_kw,wq_minutes,lambda_k,gamma,fixed_cost
37.57511,-6.75432,Valverde del Camino,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
39.47391,-0.37966,Valencia,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.76211,-3.38483,Valdepeñas,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
37.18516,-5.78093,Utrera,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
39.56667,-1.2,Utiel,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
36.67777,-5.446,Ubrique,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.01328,-3.3705,Úbeda,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
37.7688,-1.50229,Totana,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
39.98195,-4.28349,Torrijos,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
37.97872,-0.68222,Torrevieja,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
37.74293,-0.95396,Torre-Pacheco,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
36.62035,-4.49976,Torremolinos,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
37.76748,-3.95776,Torredonjimeno,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
39.15759,-3.02156,Tomelloso,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
37.37281,-6.04589,Tomares,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
39.8581,-4.02263,Toledo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.7294,0.10383,Teulada,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
36.01393,-5.60695,Tarifa,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
