gamma,fixed_cost,tag,results_csv,cuts_json,n_stations,n_chargers,avg_chargers_per_station,total_kw,total_wq_min,total_w_min,total_open_cost,objective_ub,objective_lb,gap_pct,n_cuts,power_dist,charger_dist
0.2,500.0,sweep2d_g0_2_f500,congestion/outputs/results_congestion_sweep2d_g0_2_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_2_f500.json,16,31,1.9375,7850,213.46229999999997,401.0223,8000.0,17728488.70541522,17716427.033515062,0.06803553365760169,232469,"{""100"": 2, ""200"": 3, ""250"": 7, ""350"": 4}","{""1"": 6, ""2"": 7, ""3"": 1, ""4"": 2}"
0.25,500.0,sweep2d_g0_25_f500,congestion/outputs/results_congestion_sweep2d_g0_25_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_25_f500.json,16,30,1.875,7800,228.32049999999998,413.0005,8000.0,17728880.68353422,17716819.011634063,0.06803402942047672,232469,"{""100"": 2, ""200"": 3, ""250"": 6, ""350"": 5}","{""1"": 6, ""2"": 8, ""4"": 2}"
0.3,500.0,sweep2d_g0_3_f500,congestion/outputs/results_congestion_sweep2d_g0_3_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_3_f500.json,14,25,1.7857142857142858,5350,231.2522,424.2122,7000.0,17732177.28639424,17715983.50809406,0.09132425216954415,232981,"{""100"": 2, ""150"": 3, ""200"": 4, ""250"": 2, ""350"": 3}","{""1"": 5, ""2"": 7, ""3"": 2}"
0.35,500.0,sweep2d_g0_35_f500,congestion/outputs/results_congestion_sweep2d_g0_35_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_35_f500.json,13,25,1.9230769230769231,5100,216.57399999999998,406.534,6500.0,17731839.608173236,17716239.74157306,0.08797658305562342,309986,"{""100"": 2, ""150"": 4, ""200"": 3, ""250"": 2, ""350"": 2}","{""1"": 3, ""2"": 8, ""3"": 2}"
0.4,500.0,sweep2d_g0_4_f500,congestion/outputs/results_congestion_sweep2d_g0_4_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_4_f500.json,13,25,1.9230769230769231,5100,216.57399999999998,406.534,6500.0,17732094.608173236,17716497.962973062,0.08795715083194602,232467,"{""100"": 2, ""150"": 4, ""200"": 3, ""250"": 2, ""350"": 2}","{""1"": 3, ""2"": 8, ""3"": 2}"
0.45,500.0,sweep2d_g0_45_f500,congestion/outputs/results_congestion_sweep2d_g0_45_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_45_f500.json,13,24,1.8461538461538463,5050,245.28509999999997,428.5251,6500.0,17732349.099341236,17716749.23274106,0.08797405528607599,309986,"{""100"": 2, ""150"": 3, ""200"": 3, ""250"": 3, ""350"": 2}","{""1"": 4, ""2"": 7, ""3"": 2}"
0.5,500.0,sweep2d_g0_5_f500,congestion/outputs/results_congestion_sweep2d_g0_5_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_5_f500.json,13,25,1.9230769230769231,4950,287.13030000000003,475.77029999999996,6500.0,17732598.84454024,17716998.97794006,0.08797281626308988,309986,"{""100"": 2, ""150"": 3, ""200"": 4, ""250"": 3, ""350"": 1}","{""1"": 4, ""2"": 6, ""3"": 3}"
0.55,500.0,sweep2d_g0_55_f500,congestion/outputs/results_congestion_sweep2d_g0_55_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_55_f500.json,13,24,1.8461538461538463,4900,318.62640000000005,501.86639999999994,6500.0,17732844.940640237,17717245.074040063,0.08797159537792265,309986,"{""100"": 2, ""150"": 3, ""200"": 3, ""250"": 3, ""350"": 2}","{""1"": 5, ""2"": 5, ""3"": 3}"
0.6,500.0,sweep2d_g0_6_f500,congestion/outputs/results_congestion_sweep2d_g0_6_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_6_f500.json,12,23,1.9166666666666667,4600,277.762,474.80199999999996,6000.0,17732734.99703719,17717477.151037063,0.08604338813317176,309414,"{""50"": 1, ""100"": 1, ""150"": 2, ""200"": 4, ""250"": 3, ""350"": 1}","{""1"": 4, ""2"": 5, ""3"": 3}"
0.65,500.0,sweep2d_g0_65_f500,congestion/outputs/results_congestion_sweep2d_g0_65_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_65_f500.json,12,22,1.8333333333333333,4500,320.4189,537.2589,6000.0,17732962.453874193,17717704.607874062,0.08604228447344271,309414,"{""50"": 2, ""150"": 2, ""200"": 3, ""250"": 3, ""350"": 2}","{""1"": 5, ""2"": 4, ""3"": 3}"
0.7,500.0,sweep2d_g0_7_f500,congestion/outputs/results_congestion_sweep2d_g0_7_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_7_f500.json,12,22,1.8333333333333333,4500,320.4189,537.2589,6000.0,17733187.453874193,17717929.607874062,0.08604119276254432,309414,"{""50"": 2, ""150"": 2, ""200"": 3, ""250"": 3, ""350"": 2}","{""1"": 5, ""2"": 4, ""3"": 3}"
0.75,500.0,sweep2d_g0_75_f500,congestion/outputs/results_congestion_sweep2d_g0_75_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_75_f500.json,12,22,1.8333333333333333,4500,320.4189,537.2589,6000.0,17733412.453874193,17718154.607874062,0.08604010107934901,309414,"{""50"": 2, ""150"": 2, ""200"": 3, ""250"": 3, ""350"": 2}","{""1"": 5, ""2"": 4, ""3"": 3}"
0.8,500.0,sweep2d_g0_8_f500,congestion/outputs/results_congestion_sweep2d_g0_8_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_8_f500.json,12,20,1.6666666666666667,4300,479.23279999999994,688.9928,6000.0,17733629.187868193,17718371.341868065,0.08603904952837058,309414,"{""50"": 2, ""150"": 1, ""200"": 4, ""250"": 2, ""350"": 3}","{""1"": 6, ""2"": 4, ""3"": 2}"
0.85,500.0,sweep2d_g0_85_f500,congestion/outputs/results_congestion_sweep2d_g0_85_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_85_f500.json,12,20,1.6666666666666667,4300,479.23279999999994,688.9928,6000.0,17733844.187868193,17718586.341868065,0.08603800641580837,309414,"{""50"": 2, ""150"": 1, ""200"": 4, ""250"": 2, ""350"": 3}","{""1"": 6, ""2"": 4, ""3"": 2}"
