lat,lon,name,aadt_assigned,impute_tier,edge_dist_m,highway_class,through_gap_km,stop_rate,usage_count,lambda_k
42.156917,-8.665083,SERTUY - SAN COSME - CELA - MOS,5436.7261752630575,3,629.7810596153063,secondary,10.5972,0.06874680287569093,0,2.4294240272894707
43.261944,-8.81925,VALCARCE,2652.565431360287,3,1052.126697540938,secondary,22.6514,0.08465886305208432,0,1.4596606283364528
42.876194,-7.861972,ULTREYA,3353.7509871299594,3,1673.7079092166553,motorway_link,24.5118,0.08750628297819611,0,1.907582838968292
42.649639,-7.95325,VALCARCE,128.41697707931158,3,168.99291174521954,secondary,45.923,0.1294823148992376,0,0.1080802285198454
42.787361,-9.055806,SHELL,4117.287701607581,3,833.5121670530451,primary,43.3918,0.12354127335648157,0,3.3062572753052826
42.728194,-8.301694,MOEVE,5670.0,1,619.1135251609368,trunk,13.63,0.07236311061998513,0,2.666942441899552
43.172722,-7.766167,VALCARCE ,1595.0,1,740.4812825468414,trunk_link,2.99,0.06068601334725646,0,0.6291622433776813
43.193167,-8.728639,REPSOL,2931.3321542644453,3,185.39956958523368,primary,68.6174,0.19667240871627328,0,3.7473290109232313
43.281222,-8.237417,CARBUGAL CORTIÑAN,14481.0,1,57.663108822096895,trunk,24.0056,0.08672030652789761,0,8.162678932398155
42.406667,-7.846389,LATEQUIN,2947.45702421358,3,1183.4005551364626,trunk_link,23.9722,0.08666874350557913,0,1.660440579364348
42.185861,-8.611028,EL SOL,15165.0,1,67.32485892856569,trunk,5.9372,0.06364609144766477,0,6.2737543492249355
42.761889,-7.563444,GALP,661.9189211234673,3,1955.032586471257,secondary,58.7554,0.16425578141593603,0,0.706706062550335
42.397361,-7.735417,"ESTACION DE SERVICIO LUINTRA, S.L.",5096.0,1,3947.6103920982573,trunk,35.2848,0.10636885407842218,2,3.5233619224936565
42.142028,-8.462111,LA PARADA - VALCARCE,19863.185441700636,3,133.55463845393,motorway_link,0.0138,0.057891475328880046,802,7.474409214682681
42.805139,-7.618056,CAMPA,720.1680306696757,3,70.02251373233106,secondary,44.5656,0.12626065887653148,0,0.5910377853520881
42.95725,-8.751222,CEPSA,8517.278251458438,3,3107.24037312945,primary_link,29.8072,0.09625207071572817,0,5.328736845671922
42.16675,-8.272528,E.S.VALEIXE,1083.690149269964,3,605.5384212412557,secondary,13.2004,0.07183595724346631,0,0.506011474982798
43.253583,-8.363333,ESTACION DE SERVICIO TABEAIO,13692.0,1,1755.6941405388686,trunk,17.2548,0.07701525490099854,0,6.854203655679068
