lat,lon,c,p_kw,wq_minutes
42.848944,-2.394583,3,150,0.000606
42.848944,-2.394583,4,150,1e-05
42.848944,-2.394583,5,150,0.0
42.848944,-2.394583,6,150,0.0
42.848944,-2.394583,7,150,0.0
43.293806,-2.341111,2,150,1.529365
43.293806,-2.341111,3,150,0.154694
43.293806,-2.341111,4,150,0.014943
43.293806,-2.341111,5,150,0.001293
43.293806,-2.341111,6,150,9.9e-05
43.293806,-2.341111,7,150,7e-06
43.294167,-2.340833,2,150,1.529365
43.294167,-2.340833,3,150,0.154694
43.294167,-2.340833,4,150,0.014943
43.294167,-2.340833,5,150,0.001293
43.294167,-2.340833,6,150,9.9e-05
43.294167,-2.340833,7,150,7e-06
43.284944,-2.328222,2,150,35.06213
43.284944,-2.328222,3,150,3.606504
43.284944,-2.328222,4,150,0.702239
43.284944,-2.328222,5,150,0.144004
43.284944,-2.328222,6,150,0.028172
43.284944,-2.328222,7,150,0.005109
43.284528,-2.329861,2,150,21.514903
43.284528,-2.329861,3,150,2.645161
43.284528,-2.329861,4,150,0.499634
43.284528,-2.329861,5,150,0.096306
43.284528,-2.329861,6,150,0.017489
43.284528,-2.329861,7,150,0.002925
43.326944,-1.870444,2,150,0.025907
43.326944,-1.870444,3,150,0.00044
43.326944,-1.870444,4,150,6e-06
43.326944,-1.870444,5,150,0.0
43.326944,-1.870444,6,150,0.0
43.326944,-1.870444,7,150,0.0
43.026472,-2.219917,2,150,0.116592
43.026472,-2.219917,3,150,0.004055
43.026472,-2.219917,4,150,0.000123
43.026472,-2.219917,5,150,3e-06
43.026472,-2.219917,6,150,0.0
43.026472,-2.219917,7,150,0.0
43.087111,-2.312889,2,150,0.227015
43.087111,-2.312889,3,150,0.010709
43.087111,-2.312889,4,150,0.000445
43.087111,-2.312889,5,150,1.6e-05
43.087111,-2.312889,6,150,1e-06
43.087111,-2.312889,7,150,0.0
43.284833,-2.029083,2,150,2.577774
43.284833,-2.029083,3,150,0.303915
43.284833,-2.029083,4,150,0.035726
43.284833,-2.029083,5,150,0.003822
43.284833,-2.029083,6,150,0.000366
43.284833,-2.029083,7,150,3.1e-05
43.286611,-2.031889,2,150,2.939205
43.286611,-2.031889,3,150,0.357926
43.286611,-2.031889,4,150,0.044034
43.286611,-2.031889,5,150,0.004954
43.286611,-2.031889,6,150,0.0005
43.286611,-2.031889,7,150,4.5e-05
42.547639,-2.578806,2,150,0.262072
42.547639,-2.578806,3,150,0.013181
42.547639,-2.578806,4,150,0.000586
42.547639,-2.578806,5,150,2.3e-05
42.547639,-2.578806,6,150,1e-06
42.547639,-2.578806,7,150,0.0
43.277417,-2.073278,2,150,0.412151
43.277417,-2.073278,3,150,0.025239
43.277417,-2.073278,4,150,0.001384
43.277417,-2.073278,5,150,6.6e-05
43.277417,-2.073278,6,150,3e-06
43.277417,-2.073278,7,150,0.0
43.271361,-2.070472,2,150,0.398762
43.271361,-2.070472,3,150,0.024078
43.271361,-2.070472,4,150,0.001301
43.271361,-2.070472,5,150,6.1e-05
43.271361,-2.070472,6,150,3e-06
43.271361,-2.070472,7,150,0.0
43.034694,-2.332194,2,150,0.365884
43.034694,-2.332194,3,150,0.021293
43.034694,-2.332194,4,150,0.001105
43.034694,-2.332194,5,150,5e-05
43.034694,-2.332194,6,150,2e-06
43.034694,-2.332194,7,150,0.0
43.294833,-2.258083,2,150,2.4145
43.294833,-2.258083,3,150,0.279826
43.294833,-2.258083,4,150,0.032135
43.294833,-2.258083,5,150,0.003351
43.294833,-2.258083,6,150,0.000313
43.294833,-2.258083,7,150,2.6e-05
42.878556,-2.518167,2,150,6.08972
42.878556,-2.518167,3,150,0.837275
