lat,lon,n_chargers,mean_power_kw,aadt_assigned,highway_class,stop_rate,lambda_k
43.138557,-2.153495,4,22.0,10403.832732162296,secondary,0.05,1.6906228189763735
37.215015,-3.619578,4,22.0,76743.0,motorway,0.05,12.470737500000002
39.54719,-6.435902,1,22.0,1447.0,trunk,0.05,0.23513750000000005
40.27024,-5.865605,1,22.0,768.3931591397265,secondary,0.05,0.12486388836020557
39.442062,-6.273428,1,22.0,524.0,trunk,0.05,0.08515000000000002
39.556885,-6.402026,2,70.0,15944.0,motorway,0.05,2.5909000000000004
40.221386,-5.74926,1,22.0,1496.0,trunk,0.05,0.2431
40.117653,-5.847995,1,22.0,1390.808623599234,trunk_link,0.05,0.22600640133487554
40.136635,-5.942239,1,22.0,4592.0,trunk,0.05,0.7462000000000001
39.792633,-6.389783,1,22.0,659.0,trunk,0.05,0.1070875
40.133583,-5.879075,1,22.0,4121.0,trunk,0.05,0.6696625000000002
40.259712,-5.974846,1,22.0,749.0,trunk,0.05,0.12171250000000003
40.238033,-5.997193,1,22.0,728.1444302455205,secondary,0.05,0.11832346991489712
40.191887,-6.165272,1,22.0,776.4001196334865,secondary,0.05,0.12616501944044156
40.31742,-5.859735,1,22.0,1317.595858852083,trunk,0.05,0.21410932706346353
40.205322,-5.959011,1,22.0,412.0,trunk,0.05,0.06695000000000001
39.815857,-6.329907,1,22.0,12761.0,motorway_link,0.05,2.0736625000000006
39.783417,-6.925139,1,22.0,461.03077897737774,primary,0.05,0.07491750158382389
39.9195,-6.559694,1,22.0,1906.8193120924952,primary_link,0.05,0.3098581382150305
39.813972,-6.477167,1,22.0,1906.8193120924952,primary,0.05,0.3098581382150305
39.713028,-6.884222,1,22.0,461.03077897737774,primary,0.05,0.07491750158382389
39.379833,-6.048333,1,22.0,405.29889339024993,secondary,0.05,0.06586107017591562
39.27778,-6.120972,1,22.0,828.9648984474836,secondary,0.05,0.13470679599771612
39.348057,-6.179194,1,22.0,364.22501971233584,secondary,0.05,0.05918656570325458
39.367058,-6.219167,1,22.0,757.3912286902853,secondary,0.05,0.12307607466217137
39.180527,-6.231139,1,22.0,432.3758666630414,secondary,0.05,0.07026107833274424
40.25945,-5.930762,1,22.0,1320.0,trunk,0.05,0.21450000000000002
40.18799,-6.192692,2,22.0,776.4001196334865,secondary,0.05,0.12616501944044156
39.88983,-6.467694,2,22.0,1906.8193120924952,primary_link,0.05,0.3098581382150305
43.270493,-5.128547,1,7.4,591.5371271649583,secondary,0.05,0.09612478316430573
43.20216,-5.468158,1,7.4,2661.5960193226515,primary,0.05,0.43250935313993094
43.13775,-6.07571,1,7.4,1388.474183637402,secondary,0.05,0.22562705484107784
43.50235,-5.276532,1,7.4,1666.4868539111994,secondary,0.05,0.27080411376056995
38.830196,0.014397,2,22.0,2700.6377552407625,secondary,0.05,0.43885363522662396
39.674812,-0.212935,3,22.0,6382.800511161261,secondary,0.05,1.0372050830637052
40.26017,-3.857575,1,22.0,2180.1177309083228,primary,0.05,0.3542691312726025
43.393272,-5.705015,1,22.0,14971.0,trunk,0.05,2.4327875000000003
40.946304,-5.640957,2,22.0,7019.836602169838,primary,0.05,1.140723447852599
42.678593,-0.532819,2,22.0,1227.0740059538482,trunk_link,0.05,0.19939952596750035
42.79236,-7.839884,2,180.0,2002.0,trunk,0.05,0.3253250000000001
43.19429,-2.61132,4,7.3,21797.71145924487,motorway,0.05,3.5421281121272914
41.616684,1.400437,1,180.0,3203.7621468772945,secondary_link,0.05,0.5206113488675604
39.678646,-0.22109,2,22.0,6382.800511161261,secondary,0.05,1.0372050830637052
41.6506,-5.9935,2,7.4,1331.6302546502588,trunk_link,0.05,0.21638991638066707
41.593483,-5.854606,2,7.3,713.0,trunk,0.05,0.11586250000000001
39.678646,-0.22109,2,22.0,6382.800511161261,secondary,0.05,1.0372050830637052
38.8994,-0.6899,4,61.0,26613.0,motorway,0.05,4.324612500000001
